username,password,FirstName,LastName,HouseNum,Street,State,City,Zip,savingsBalance,checkingBalance,creditCardBalance,creditLimit,carLoan,houseLoan
rattlepoints,G5wKKh8w,Keren,Kettner,5442,Sunset Ave,AZ,Tucson,67976,246986.8,1111.837676,2247.680445,12116,25250,326072
pincerscracker,NZYNMSNv,Larisa,Latimer,8527,Fulton Ave,AZ,Phoenix,73264,51814.4,1699.218045,17798.03853,22959,44582,546988
glandspure,edZG92M2,Tatyana,Troutman,9388,West Fairview Ave,NV,LasVegas,46853,100740.3,1014.249638,43861.59367,4146,20749,552355
lawndeli,LnSp8SCp,Delisa,Dunn,8593,Sunnyslope Dr,NM,Las Cruces,86200,97905841.3,21278.08514,6312.808876,7916,25898,510122
aftercattle,FfyqHrcW,Fernande,Flesher,4201,Crown Street Northbrook,NV,Reno,72142,625911.2,1341.597574,2869.113562,6402,26554,258011
foretellanger,N87YBCQA,Luz,Little,8775,East Border Street,CA,Los Angeles,17880,377014.3,2797.645651,4196.444357,13207,48195,67598
maulwindbound,RhYLASGY,Anette,Alcott,9145,Steam Ave,CA,SantaClara,20205,738765.8,929.6997797,1094.136082,13555,31135,640312
warblingvassal,S35m2eLB,Faustino,Finnerty,4237,Congress Ave,CA,SanFransisco,71100,927098.7,30875.26027,3107.893452,4525,48101,116679
usersreversible,Wjsnh6nT,Londa,Linkous,2204,Terrace Street Hernando,WA,Seattle,63840,3059988.4,1094.13351,21788.57697,4240,24358,111927
zealvisual,XDd4j9W9,Rebbecca,Ruark,9908,Station StreetApt 453 Crystal Lake,CA,San Diego,98480,347467.0,1389.394336,24775.05026,15738,38586,336120
pertinentwhoosh,35YVgRaq,Sebrina,Saylors,6319,Pilgrim Ave,NV,Racine,29141,533471.9,1803.299947,7500.70628,24763,67451,533939
sherrynecktie,r9vHScf4,Bradley,Bonilla,7740,Cherry Ave,VA,Richmond,11869,1552520.7,1117.266264,7134.465329,13144,38954,117533
vallismindless,bhp3JzbH,Andria,Averett,3588,Henry Smith Road Apex,CA,Riverside,58764,268765.4,1392.347542,26807.51151,24413,59561,329006
ritualfragrant,kEx4nPyj,Edna,Etherton,9304,Wakehurst Street Cottage Grove,MI,Sain Louis,86257,44194697.0,1225.641203,1790.186562,10993,77203,263235
clippedoddball,qzQGywnF,Mendy,Methvin,5303,Johnson Avenue Vista,NY,Salem,44322,390649.1,851.7375772,12680.09829,19180,65391,380063
resentfultoast,p3a7sPMP,Le,Limon,2023,Pebble Ave,CA,San Hose,76897,1332649.8,803.0880008,10507.61554,10992,39678,52363
estatesfreedom,XEZuvv3m,Chastity,Cagle,2706,S. Colonel St. Matthews,CA,Palm Springs,42699,2918305.7,2554.820325,4726.467009,6729,25758,282882
spansuit,bGHGkAMR,Caren,Calzada,1453,Market Lane Hopkinsville,FL,Orange,84693,2924033.0,2109.941,26584.31317,11106,76955,474086
playgroundsemla,cACxCr8w,Gene,Grate,5162,Gold Circle Bristow,CT,Norwalk,27109,13767.7,8480.795866,366.7949953,20806,76411,235812
messengersocieties,HDBmvvJN,Shantay,Sumter,5486,Ann St. Seattle,CA,Pensacola,17088,645834.4,1443.105936,16638.22523,20995,28464,430403
obstinacygavel,4YDW2E93,Wendi,Westby,1605,S. Crown St. Copperas Cove,PY,Pittsburgh,20650,3497275.7,1079.914082,2650.237641,6102,52682,103195
handgunshelf,CXShXs4R,Ericka,Easley,9855,Sutor Street Hastings,CA,Pomona,92404,216465.9,1610.551768,30049.80913,16549,58114,138697
advancedsharing,KWtDAnRK,Eliana,Erick,5572,Alderwood Ave. Manahawkin,FL,Orlando,63638,1095593.7,1181.701521,7665.571915,6063,55162,459683
caramelisedannum,5dzyaeHa,Teodora,Torrez,7306,Union Ave. La Vergne,CA,Ontario,28342,8858874.3,1910.046757,5558.523791,19836,69647,542697
gooeyprepend,bKykEpcL,Jamee,Jenkins,5532,Tailwater Drive Oak Forest,NE,Omaha,13222,2437637.3,6992.636232,19064.46094,17332,19910,412599
odiferousdecorate,yeMhuLnG,Minerva,Meade,6360,Woodside Avenue Christiansburg,IA,Dubuque,87994,3992854.2,1153.751091,14860.97777,23967,17210,237964
takingaccording,3DAD39hQ,Emeline,Escalera,6069,West Lotus St. Fishers,IA,Desmoines,30249,855893.6,11068.00541,7675.173676,7174,62182,91103
menorahaltitude,W9Jvwhap,Fern,Favors,3588,Jennings Dr. Cumberland,IL,Chicago,63979,12633733.3,760.6067517,210081.0153,3768,25257,55394
assistantfeel,5jmVJFzr,Sherley,Spurlin,8475,Brickyard St. Englewood,WI,Madison,76407,1564308.9,2673.326909,9765.107169,10186,71399,583954
blowfishask,jejLzjvd,Madelyn,Merrihew,9152,East Clearance Ave. Clemmons,MN,Minneapolis,21913,604628.8,4468.04329,15636.12861,11357,36152,532738
sinescockle,qsWvEPxY,Amanda,Aylesworth,7718,Low Dr. Greer,MN,St Paul,59624,36302.0,2074.315925,5528.187799,19217,76599,350324
joinsilent,5Af8hxVU,Genoveva,Gayhart,3238,Old Howard Drive Mableton,MN,Mankato,61769,269565.1,11138.29337,8605.782147,5641,71157,246487
worriedexcitable,Btu6EJXG,Dolores,Deschaine,1893,Victory St. Reynoldsburg,IL,Moline,43358,398258.2,1517.403742,74347.09765,21137,7370,82933
beneficentfalter,ynsjUnqe,Muoi,Munoz,1526,Bliss Avenue Lansing,IA,Bettendorf,17298,1053812.6,1082.592306,10256.91142,24251,38596,142853
groomingcrisp,hVfEA9hg,Louise,Leitz,3395,SE. Oval St. Arlington,WI,Wakesha,31928,337764.8,2442.247804,13966.25817,20076,71999,242138
spurscoop,sBhZsGxv,Elfriede,Elvin,5154,West Court Pleasanton,OK,Tulsa,33144,639084.8,1483.773297,12376.51987,19104,24339,449213
quantuelearning,SfRxA7rW,Madonna,Mullet,5443,Wagon St. Richardson,TX,Dallas,53399,957399.8,286282.3704,19148.30796,17473,60289,179614
workmanunite,xa5SF7cG,Corine,Chadwell,7863,S. Greenview Drive Woburn,KS,Wichita,39716,538201.7,1500.363016,1403454.118,2603,28171,329429
exchangemad,Jz8edBFJ,Randal,Roseborough,7910,Carriage Lane New Port Richey,KS,Kansas City,17223,923419.1,1552.652079,37874.15172,15806,12582,458552
bookmarkantares,Hj3xwxGV,Lindy,Lafleur,9739,Peachtree Dr. Grandville,IA,Waterloo,93431,355578.9,834.8811384,24340.45744,1101,7651,312621
butteredblackboard,EQUsxbvb,Leslie,Lafever,9368,Vista Lane Harrisonburg,IL,Rockford,75787,137940.4,2121.883297,41245.52257,10709,71393,215848
bishopmandoline,wty9XWLb,Margeret,Mandelbaum,7336,West Creekside Court Nashville,CA,Riverside,91443,287606.2,798.1165602,95759.30741,16634,54214,449353
sharedivision,3sGb7VpF,Janell,Jellison,6120,Prairie Drive Midland,NY,Rochester,34829,396424.5,19519.00472,32442.8761,1063,16334,376772
provesworkman,L7DzuBmZ,Kizzie,Kale,9327,Trenton Lane Chapel Hill,CA,Sacramento,51502,422167.2,10217.19223,50443.17001,21484,43874,441788
clutchscript,6teKqMTz,Davida,Doolan,9701, Oakwood St. Herndon,OR,Portland,44640,1423877.1,1898.912671,21978.65462,24439,66394,353567
gamblingidentity,d8UrcEGc,Nery,Nevers,3011,San Pablo Rd. Centereach,TX,Plano,51273,305998.9,1356.181304,5582.800871,23174,8872,138175
gnuprofess,UMFUbjKq,Dorene,Doiron,2609,El Dorado Lane Nazareth,TX,San Antonio,14797,661237.0,2636.102852,2491.699663,5778,48888,515231
